entry_id,display_name,family,platform,species,tissue,n_observations,n_genes,requested_k,source_publication,public_source,reference_annotation,verification_note
151507,151507,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,4226,18430,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151508,151508,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,4384,18067,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151509,151509,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,4789,18688,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151510,151510,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,4634,18466,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151669,151669,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,3661,18583,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151670,151670,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,3498,18332,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151671,151671,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,4110,19041,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151672,151672,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,4015,18730,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151673,151673,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,3639,19151,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151674,151674,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,3673,19878,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
151675,151675,DLPFC,10x Visium,human,dorsolateral prefrontal cortex,3592,18658,7,"Maynard et al. (2021); doi:10.1038/s41593-020-00787-0",https://spatial.libd.org/spatialLIBD/,Manual cortical layers L1-L6 and white matter distributed through spatialLIBD/HumanPilot,Exact archived accession/version TO VERIFY
