entry_id,n_observations,n_genes,sha256
151507,4226,18430,AFCCADD286BD6E9BD4E04D37C312393DE3E6B999BC2239DF12570262CD2A7B84
151508,4384,18067,0A40100E0DA57395EDF3936016987BC1D621FD3E65E3B3AEDB5B43BBC8AAEC1B
151509,4789,18688,D90E65DAE830E5B3184B3777E701577330A396C4BC982E996AE61F625E8475C8
151510,4634,18466,982EF73DACD1791E056763F228857F06D6C7E4FB9552DC9B16A183E094EB2ECA
151669,3661,18583,8A6046759E4A28520E668E1C99AEC760AE95B66AE8002B431DEA334D71E5F559
151670,3498,18332,BFBD94D076B086E76A12383EE1628D5A30152C46FAF7469B96E877946B19FACF
151671,4110,19041,5836F10E276DB6ADF86CB2D61F8A855C607E4041D8F755B9FE296607A86635E1
151672,4015,18730,3BAE226170CD2542469BBF51E3780EB52503D3C307C93C6DA77251322A1F1ACC
151673,3639,19151,008A69F66A61D4D25D39965A5CBFFA15955671558818B19C208A732FA918B692
151674,3673,19878,1D9AB1E5828F4BDBB8711D302E620C22D27203D929A360B135C3269C781EE9D8
151675,3592,18658,C6AB72839138FB6780D24E40352E5313CAD7B7D3B1BA9670DB30622A1CDDFEB9
151676,3460,18674,0229446102673C7F830C137E5B0FD65383574C03C2855C5F44D860C4A1370083
STARmap_20180505_BY3_1k,1207,1020,9C8CF484E296126F4004BF7174E70C3BD2A0236120767F849C213B4D88D186E9
HBCA1,3798,22240,D57FEF37A62AF05451AE2F6B6AA151F18C590DA8E331D64715E655FAABDD4905
MERFISH_Bregma_m0.04,5488,155,1369641CFABB62572C67AE2DB454F7E2FA65702B81E44365C2E772AFE2CA3F12
MERFISH_Bregma_m0.09,5557,155,91E912D7F53E8C7A985B6F152BFB3982F975F3BF82ED135601D1D54C61522D48
MERFISH_Bregma_m0.14,5926,155,F46C60973AE99E223A612B148DD068B8A9568E46702245703F6A0C8975D8200F
MERFISH_Bregma_m0.19,5803,155,DE986E9212813224BF60F936D08C890EDBD915A1004B99EBA57F176470BACDB3
MERFISH_Bregma_m0.24,5543,155,13C3ED6478D3396F152B6016096AA7C13D0761D984061F395930E29B6C641A8E

