section,section_display,enumerated_combinations,winner_credit_scaled_60_sum,winner_credit_denominator_scaled_60,maximum_p_rank1,most_probable_winner,n_methods_positive_p_rank1,n_methods_p_rank1_ge_0_05,winner_entropy_bits,winner_entropy_normalized
151507,151507,3200000,192000000,192000000,0.99750000000000005,SEDR,2,1,0.025211865892934702,0.010858159625377091
151508,151508,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
151509,151509,3200000,192000000,192000000,0.83803625000000004,SEDR,5,2,0.78845903051640298,0.33957082144468886
151510,151510,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
151669,151669,3200000,192000000,192000000,0.99750000000000005,SEDR,2,1,0.025211865892934702,0.010858159625377091
151670,151670,3200000,192000000,192000000,0.54910625000000002,BANKSY,4,3,1.4093610073849783,0.60697874774341232
151671,151671,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
151672,151672,3200000,192000000,192000000,0.70999999999999996,SEDR,2,2,0.86872124633940451,0.37413787629868295
151673,151673,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
151674,151674,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
151675,151675,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
151676,151676,3200000,192000000,192000000,1,SEDR,1,1,-0,-0
STARmap_20180505_BY3_1k,STARmap,3200000,192000000,192000000,0.52118750000000003,BANKSY,4,2,1.0760543029698146,0.46343136350310388
HBCA1,HBCA1,3200000,192000000,192000000,0.56637499999999996,BANKSY,3,2,0.99853550743740094,0.43004583545720881
MERFISH_Bregma_m0.04,Bregma -0.04,3200000,192000000,192000000,1,STAGATE,1,1,-0,-0
MERFISH_Bregma_m0.09,Bregma -0.09,3200000,192000000,192000000,0.88749999999999996,STAGATE,3,2,0.58684688729152634,0.25274119753479901
MERFISH_Bregma_m0.14,Bregma -0.14,3200000,192000000,192000000,0.70750000000000002,STAGATE,2,2,0.87192880249302207,0.3755192955427501
MERFISH_Bregma_m0.19,Bregma -0.19,3200000,192000000,192000000,1,STAGATE,1,1,-0,-0
MERFISH_Bregma_m0.24,Bregma -0.24,3200000,192000000,192000000,0.99250000000000005,STAGATE,2,1,0.063721237854930349,0.027443243395537404
