section,section_display,method_A,method_B,count_A_gt_B_20x20,count_B_gt_A_20x20,tie_count_20x20,count_A_gt_B,count_B_gt_A,tie_count,p_A_gt_B,p_B_gt_A,tie_probability,enumerated_pairwise_comparisons,enumerated_five_method_combinations,seed_pairing
151507,151507,GraphST,STAGATE,217,183,0,1736000,1464000,0,0.54249999999999998,0.45750000000000002,0,400,3200000,unmatched empirical Cartesian product
151507,151507,GraphST,SpaGCN,10,390,0,80000,3120000,0,0.025000000000000001,0.97499999999999998,0,400,3200000,unmatched empirical Cartesian product
151507,151507,GraphST,BANKSY,245,155,0,1960000,1240000,0,0.61250000000000004,0.38750000000000001,0,400,3200000,unmatched empirical Cartesian product
151507,151507,GraphST,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151507,151507,STAGATE,SpaGCN,83,317,0,664000,2536000,0,0.20749999999999999,0.79249999999999998,0,400,3200000,unmatched empirical Cartesian product
151507,151507,STAGATE,BANKSY,238,162,0,1904000,1296000,0,0.59499999999999997,0.40500000000000003,0,400,3200000,unmatched empirical Cartesian product
151507,151507,STAGATE,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151507,151507,SpaGCN,BANKSY,360,40,0,2880000,320000,0,0.90000000000000002,0.10000000000000001,0,400,3200000,unmatched empirical Cartesian product
151507,151507,SpaGCN,SEDR,1,399,0,8000,3192000,0,0.0025000000000000001,0.99750000000000005,0,400,3200000,unmatched empirical Cartesian product
151507,151507,BANKSY,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151508,151508,GraphST,STAGATE,205,195,0,1640000,1560000,0,0.51249999999999996,0.48749999999999999,0,400,3200000,unmatched empirical Cartesian product
151508,151508,GraphST,SpaGCN,133,267,0,1064000,2136000,0,0.33250000000000002,0.66749999999999998,0,400,3200000,unmatched empirical Cartesian product
151508,151508,GraphST,BANKSY,240,160,0,1920000,1280000,0,0.59999999999999998,0.40000000000000002,0,400,3200000,unmatched empirical Cartesian product
151508,151508,GraphST,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151508,151508,STAGATE,SpaGCN,139,261,0,1112000,2088000,0,0.34749999999999998,0.65249999999999997,0,400,3200000,unmatched empirical Cartesian product
151508,151508,STAGATE,BANKSY,241,159,0,1928000,1272000,0,0.60250000000000004,0.39750000000000002,0,400,3200000,unmatched empirical Cartesian product
151508,151508,STAGATE,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151508,151508,SpaGCN,BANKSY,280,120,0,2240000,960000,0,0.69999999999999996,0.29999999999999999,0,400,3200000,unmatched empirical Cartesian product
151508,151508,SpaGCN,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151508,151508,BANKSY,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151509,151509,GraphST,STAGATE,31,369,0,248000,2952000,0,0.077499999999999999,0.92249999999999999,0,400,3200000,unmatched empirical Cartesian product
151509,151509,GraphST,SpaGCN,129,271,0,1032000,2168000,0,0.32250000000000001,0.67749999999999999,0,400,3200000,unmatched empirical Cartesian product
151509,151509,GraphST,BANKSY,120,280,0,960000,2240000,0,0.29999999999999999,0.69999999999999996,0,400,3200000,unmatched empirical Cartesian product
151509,151509,GraphST,SEDR,5,395,0,40000,3160000,0,0.012500000000000001,0.98750000000000004,0,400,3200000,unmatched empirical Cartesian product
151509,151509,STAGATE,SpaGCN,381,19,0,3048000,152000,0,0.95250000000000001,0.047500000000000001,0,400,3200000,unmatched empirical Cartesian product
151509,151509,STAGATE,BANKSY,321,79,0,2568000,632000,0,0.80249999999999999,0.19750000000000001,0,400,3200000,unmatched empirical Cartesian product
151509,151509,STAGATE,SEDR,57,343,0,456000,2744000,0,0.14249999999999999,0.85750000000000004,0,400,3200000,unmatched empirical Cartesian product
151509,151509,SpaGCN,BANKSY,132,268,0,1056000,2144000,0,0.33000000000000002,0.67000000000000004,0,400,3200000,unmatched empirical Cartesian product
151509,151509,SpaGCN,SEDR,2,398,0,16000,3184000,0,0.0050000000000000001,0.995,0,400,3200000,unmatched empirical Cartesian product
151509,151509,BANKSY,SEDR,21,379,0,168000,3032000,0,0.052499999999999998,0.94750000000000001,0,400,3200000,unmatched empirical Cartesian product
151510,151510,GraphST,STAGATE,189,211,0,1512000,1688000,0,0.47249999999999998,0.52749999999999997,0,400,3200000,unmatched empirical Cartesian product
151510,151510,GraphST,SpaGCN,224,176,0,1792000,1408000,0,0.56000000000000005,0.44,0,400,3200000,unmatched empirical Cartesian product
151510,151510,GraphST,BANKSY,98,302,0,784000,2416000,0,0.245,0.755,0,400,3200000,unmatched empirical Cartesian product
151510,151510,GraphST,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151510,151510,STAGATE,SpaGCN,219,181,0,1752000,1448000,0,0.54749999999999999,0.45250000000000001,0,400,3200000,unmatched empirical Cartesian product
151510,151510,STAGATE,BANKSY,142,258,0,1136000,2064000,0,0.35499999999999998,0.64500000000000002,0,400,3200000,unmatched empirical Cartesian product
151510,151510,STAGATE,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151510,151510,SpaGCN,BANKSY,95,305,0,760000,2440000,0,0.23749999999999999,0.76249999999999996,0,400,3200000,unmatched empirical Cartesian product
151510,151510,SpaGCN,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151510,151510,BANKSY,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151669,151669,GraphST,STAGATE,155,245,0,1240000,1960000,0,0.38750000000000001,0.61250000000000004,0,400,3200000,unmatched empirical Cartesian product
151669,151669,GraphST,SpaGCN,292,108,0,2336000,864000,0,0.72999999999999998,0.27000000000000002,0,400,3200000,unmatched empirical Cartesian product
151669,151669,GraphST,BANKSY,25,375,0,200000,3000000,0,0.0625,0.9375,0,400,3200000,unmatched empirical Cartesian product
151669,151669,GraphST,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151669,151669,STAGATE,SpaGCN,391,9,0,3128000,72000,0,0.97750000000000004,0.022499999999999999,0,400,3200000,unmatched empirical Cartesian product
151669,151669,STAGATE,BANKSY,21,379,0,168000,3032000,0,0.052499999999999998,0.94750000000000001,0,400,3200000,unmatched empirical Cartesian product
151669,151669,STAGATE,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151669,151669,SpaGCN,BANKSY,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151669,151669,SpaGCN,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151669,151669,BANKSY,SEDR,1,399,0,8000,3192000,0,0.0025000000000000001,0.99750000000000005,0,400,3200000,unmatched empirical Cartesian product
151670,151670,GraphST,STAGATE,253,147,0,2024000,1176000,0,0.63249999999999995,0.36749999999999999,0,400,3200000,unmatched empirical Cartesian product
151670,151670,GraphST,SpaGCN,374,26,0,2992000,208000,0,0.93500000000000005,0.065000000000000002,0,400,3200000,unmatched empirical Cartesian product
151670,151670,GraphST,BANKSY,56,344,0,448000,2752000,0,0.14000000000000001,0.85999999999999999,0,400,3200000,unmatched empirical Cartesian product
151670,151670,GraphST,SEDR,40,360,0,320000,2880000,0,0.10000000000000001,0.90000000000000002,0,400,3200000,unmatched empirical Cartesian product
151670,151670,STAGATE,SpaGCN,303,97,0,2424000,776000,0,0.75749999999999995,0.24249999999999999,0,400,3200000,unmatched empirical Cartesian product
151670,151670,STAGATE,BANKSY,49,351,0,392000,2808000,0,0.1225,0.87749999999999995,0,400,3200000,unmatched empirical Cartesian product
151670,151670,STAGATE,SEDR,52,348,0,416000,2784000,0,0.13,0.87,0,400,3200000,unmatched empirical Cartesian product
151670,151670,SpaGCN,BANKSY,2,398,0,16000,3184000,0,0.0050000000000000001,0.995,0,400,3200000,unmatched empirical Cartesian product
151670,151670,SpaGCN,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151670,151670,BANKSY,SEDR,228,172,0,1824000,1376000,0,0.56999999999999995,0.42999999999999999,0,400,3200000,unmatched empirical Cartesian product
151671,151671,GraphST,STAGATE,26,374,0,208000,2992000,0,0.065000000000000002,0.93500000000000005,0,400,3200000,unmatched empirical Cartesian product
151671,151671,GraphST,SpaGCN,334,66,0,2672000,528000,0,0.83499999999999996,0.16500000000000001,0,400,3200000,unmatched empirical Cartesian product
151671,151671,GraphST,BANKSY,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151671,151671,GraphST,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151671,151671,STAGATE,SpaGCN,392,8,0,3136000,64000,0,0.97999999999999998,0.02,0,400,3200000,unmatched empirical Cartesian product
151671,151671,STAGATE,BANKSY,18,382,0,144000,3056000,0,0.044999999999999998,0.95499999999999996,0,400,3200000,unmatched empirical Cartesian product
151671,151671,STAGATE,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151671,151671,SpaGCN,BANKSY,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151671,151671,SpaGCN,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151671,151671,BANKSY,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151672,151672,GraphST,STAGATE,1,399,0,8000,3192000,0,0.0025000000000000001,0.99750000000000005,0,400,3200000,unmatched empirical Cartesian product
151672,151672,GraphST,SpaGCN,298,102,0,2384000,816000,0,0.745,0.255,0,400,3200000,unmatched empirical Cartesian product
151672,151672,GraphST,BANKSY,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151672,151672,GraphST,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151672,151672,STAGATE,SpaGCN,400,0,0,3200000,0,0,1,0,0,400,3200000,unmatched empirical Cartesian product
151672,151672,STAGATE,BANKSY,10,390,0,80000,3120000,0,0.025000000000000001,0.97499999999999998,0,400,3200000,unmatched empirical Cartesian product
151672,151672,STAGATE,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151672,151672,SpaGCN,BANKSY,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
151672,151672,SpaGCN,SEDR,0,400,0,0,3200000,0,0,1,0,400,3200000,unmatched empirical Cartesian product
