section,section_display,method,rank,rank_x2,count,probability,enumerated_combinations,rank_rule,interpretation_unit
151507,151507,GraphST,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,2,4,40880,0.012775,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,3,6,1173360,0.36667499999999997,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,4,8,1306640,0.40832499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,GraphST,5,10,679120,0.212225,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,2,4,657600,0.20549999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,3,6,574400,0.17949999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,4,8,910400,0.28449999999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,STAGATE,5,10,1057600,0.33050000000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,1,2,8000,0.0025000000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,2,4,2262600,0.70706250000000004,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,3,6,801400,0.25043749999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,4,8,121400,0.037937499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SpaGCN,5,10,6600,0.0020625000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,2,4,230920,0.072162500000000004,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,3,6,650840,0.2033875,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,4,8,861560,0.26923750000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,BANKSY,5,10,1456680,0.45521250000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,1,2,3192000,0.99750000000000005,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,2,4,8000,0.0025000000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,3,6,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,4,8,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151507,151507,SEDR,5,10,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,2,4,546380,0.17074375,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,3,6,962460,0.30076874999999997,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,4,8,1059940,0.33123124999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,GraphST,5,10,631220,0.19725624999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,2,4,737480,0.23046249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,3,6,752760,0.23523749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,4,8,882040,0.27563749999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,STAGATE,5,10,827720,0.25866250000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,2,4,1212280,0.37883749999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,3,6,1066360,0.33323750000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,4,8,694440,0.2170125,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SpaGCN,5,10,226920,0.070912500000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,2,4,703860,0.21995624999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,3,6,418420,0.13075624999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,4,8,563580,0.17611874999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,BANKSY,5,10,1514140,0.47316875000000003,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,1,2,3200000,1,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,2,4,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,3,6,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,4,8,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151508,151508,SEDR,5,10,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,1,2,17160,0.0053625000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,2,4,197400,0.061687499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,3,6,450040,0.1406375,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,4,8,719080,0.22471250000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,GraphST,5,10,1816320,0.56759999999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,1,2,400640,0.12520000000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,2,4,2033820,0.63556875000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,3,6,590300,0.18446874999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,4,8,139380,0.043556249999999998,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,STAGATE,5,10,35860,0.011206249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,1,2,884,0.00027625000000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,2,4,62884,0.019651249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,3,6,803644,0.25113875000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,4,8,1592524,0.49766375000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151509,151509,SpaGCN,5,10,740064,0.23127,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
