section,section_display,method,p_rank1,winner_credit_scaled_60,winner_credit_denominator_scaled_60,max_winner_probability,winner_entropy_bits,winner_entropy_normalized,enumerated_combinations,tie_rule
151507,151507,GraphST,0,0,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151507,151507,STAGATE,0,0,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151507,151507,SpaGCN,0.0025000000000000001,480000,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151507,151507,BANKSY,0,0,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151507,151507,SEDR,0.99750000000000005,191520000,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151508,151508,GraphST,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151508,151508,STAGATE,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151508,151508,SpaGCN,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151508,151508,BANKSY,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151508,151508,SEDR,1,192000000,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151509,151509,GraphST,0.0053625000000000001,1029600,192000000,0.83803625000000004,0.78845903051640298,0.33957082144468886,3200000,tied maxima split rank-1 credit equally
151509,151509,STAGATE,0.12520000000000001,24038400,192000000,0.83803625000000004,0.78845903051640298,0.33957082144468886,3200000,tied maxima split rank-1 credit equally
151509,151509,SpaGCN,0.00027625000000000002,53040,192000000,0.83803625000000004,0.78845903051640298,0.33957082144468886,3200000,tied maxima split rank-1 credit equally
151509,151509,BANKSY,0.031125,5976000,192000000,0.83803625000000004,0.78845903051640298,0.33957082144468886,3200000,tied maxima split rank-1 credit equally
151509,151509,SEDR,0.83803625000000004,160902960,192000000,0.83803625000000004,0.78845903051640298,0.33957082144468886,3200000,tied maxima split rank-1 credit equally
151510,151510,GraphST,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151510,151510,STAGATE,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151510,151510,SpaGCN,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151510,151510,BANKSY,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151510,151510,SEDR,1,192000000,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151669,151669,GraphST,0,0,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151669,151669,STAGATE,0,0,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151669,151669,SpaGCN,0,0,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151669,151669,BANKSY,0.0025000000000000001,480000,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151669,151669,SEDR,0.99750000000000005,191520000,192000000,0.99750000000000005,0.025211865892934702,0.010858159625377091,3200000,tied maxima split rank-1 credit equally
151670,151670,GraphST,0.035499999999999997,6816000,192000000,0.54910625000000002,1.4093610073849783,0.60697874774341232,3200000,tied maxima split rank-1 credit equally
151670,151670,STAGATE,0.0560125,10754400,192000000,0.54910625000000002,1.4093610073849783,0.60697874774341232,3200000,tied maxima split rank-1 credit equally
151670,151670,SpaGCN,0,0,192000000,0.54910625000000002,1.4093610073849783,0.60697874774341232,3200000,tied maxima split rank-1 credit equally
151670,151670,BANKSY,0.54910625000000002,105428400,192000000,0.54910625000000002,1.4093610073849783,0.60697874774341232,3200000,tied maxima split rank-1 credit equally
151670,151670,SEDR,0.35938124999999999,69001200,192000000,0.54910625000000002,1.4093610073849783,0.60697874774341232,3200000,tied maxima split rank-1 credit equally
151671,151671,GraphST,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151671,151671,STAGATE,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151671,151671,SpaGCN,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151671,151671,BANKSY,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151671,151671,SEDR,1,192000000,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151672,151672,GraphST,0,0,192000000,0.70999999999999996,0.86872124633940451,0.37413787629868295,3200000,tied maxima split rank-1 credit equally
151672,151672,STAGATE,0,0,192000000,0.70999999999999996,0.86872124633940451,0.37413787629868295,3200000,tied maxima split rank-1 credit equally
151672,151672,SpaGCN,0,0,192000000,0.70999999999999996,0.86872124633940451,0.37413787629868295,3200000,tied maxima split rank-1 credit equally
151672,151672,BANKSY,0.28999999999999998,55680000,192000000,0.70999999999999996,0.86872124633940451,0.37413787629868295,3200000,tied maxima split rank-1 credit equally
151672,151672,SEDR,0.70999999999999996,136320000,192000000,0.70999999999999996,0.86872124633940451,0.37413787629868295,3200000,tied maxima split rank-1 credit equally
151673,151673,GraphST,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151673,151673,STAGATE,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151673,151673,SpaGCN,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151673,151673,BANKSY,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151673,151673,SEDR,1,192000000,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
151674,151674,GraphST,0,0,192000000,1,-0,-0,3200000,tied maxima split rank-1 credit equally
