section,method,median_single_seed_reference_ari,best_single_seed_reference_ari,consensus20_reference_ari,consensus20_reference_nmi,split_half_consensus_ari,algorithm,median_single_seed_pairwise_ari,split_half_gain_over_median_single_seed_pairwise_ari,section_display
151507,GraphST,0.2588909911,0.3042338951,0.259630716,0.4662091897,0.5536649795,average-linkage agglomeration of unweighted co-association matrix,0.458022381,0.0956425985,151507
151507,STAGATE,0.2506924908,0.4170051092,0.2469737501,0.4776975786,0.8580158945,average-linkage agglomeration of unweighted co-association matrix,0.563090527,0.2949253674,151507
151507,SpaGCN,0.3576455252,0.4619630376,0.3670520294,0.4894121109,0.7335386927,average-linkage agglomeration of unweighted co-association matrix,0.5324788584,0.2010598343,151507
151507,BANKSY,0.2456492286,0.3322585124,0.2457833257,0.4763432718,0.98786526,average-linkage agglomeration of unweighted co-association matrix,0.6166721553,0.3711931047,151507
151507,SEDR,0.52662389710299995,0.57519566319299997,0.56841623849400003,0.71155274102999999,0.76027036912099999,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.67065921665799999,0.089611152462999999,151507
151508,GraphST,0.2673298617,0.3238860157,0.1937269257,0.3756402944,0.5755347057,average-linkage agglomeration of unweighted co-association matrix,0.4881163354,0.08741837031,151508
151508,STAGATE,0.2814171181,0.4107281587,0.2077569564,0.4094497422,0.5705007617,average-linkage agglomeration of unweighted co-association matrix,0.5569643238,0.01353643797,151508
151508,SpaGCN,0.2855869126,0.3604845814,0.3952117281,0.4639484259,0.7235596706,average-linkage agglomeration of unweighted co-association matrix,0.459160335,0.2643993356,151508
151508,BANKSY,0.2504349992,0.3708336262,0.2455681661,0.4377849361,0.9259230827,average-linkage agglomeration of unweighted co-association matrix,0.5404965699,0.3854265128,151508
151508,SEDR,0.50804582683300004,0.53210885144999998,0.53894389774399998,0.67041328466399996,0.83548157537300005,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.72159531608500005,0.11388625928899999,151508
151509,GraphST,0.3068516078,0.4251023277,0.3101512583,0.4822142179,0.546909466,average-linkage agglomeration of unweighted co-association matrix,0.4477543285,0.09915513751,151509
151509,STAGATE,0.4138940778,0.499627496,0.4130125438,0.5414308813,0.9552665891,average-linkage agglomeration of unweighted co-association matrix,0.7457305847,0.2095360044,151509
151509,SpaGCN,0.3361308089,0.379367343,0.3349961565,0.506935009,0.746944612,average-linkage agglomeration of unweighted co-association matrix,0.5197228578,0.2272217542,151509
151509,BANKSY,0.357908655,0.4811860441,0.3558542679,0.5704775128,0.8695574418,average-linkage agglomeration of unweighted co-association matrix,0.5067077553,0.3628496865,151509
