section,dataset_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top50_marker_jaccard,top100_marker_jaccard,marker_rank_spearman,aligned_domains_compared_n,aligned_domains_compared,marker_pipeline_source,partition_ari_tertile,section_display,marker_set_size
151507,151507,GraphST,1,2,0.01296393,0.57688566,0.85185185,0.8018018,0.92538131,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,1,3,0.00287233,0.56989679,0.85185185,0.81818182,0.91338928,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,1,6,0.00282723,0.59099361,0.88679245,0.83486239,0.91937479,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,1,7,0.01161391,0.44708545,0.81818182,0.78571429,0.91526289,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,1,8,0.00993623,0.48410122,0.85185185,0.83486239,0.90582202,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,1,9,0.00310352,0.43253914,0.85185185,0.78571429,0.90179625,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,1,10,0.01668686,0.46970107,0.81818182,0.83486239,0.91673476,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,1,11,0.01276571,0.48034572,0.85185185,0.83486239,0.93452006,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,1,14,0.00064554,0.43759704,0.72413793,0.72413793,0.86488856,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,1,15,0.00267587,0.56247292,0.88679245,0.83486239,0.92990193,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,1,16,0.00248756,0.44942677,0.75438596,0.81818182,0.9123081,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,1,17,0.00921905,0.56479577,0.81818182,0.81818182,0.92925417,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,1,18,0.01113413,0.5224339,0.78571429,0.78571429,0.90845104,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,1,20,0.00028013,0.35525732,0.72413793,0.58730159,0.84672843,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,2,3,0.0100916,0.56477168,0.88679245,0.8018018,0.91724878,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,2,6,0.0101367,0.59366849,0.88679245,0.8018018,0.91364047,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,2,9,0.00986041,0.46779878,0.88679245,0.83486239,0.91716421,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,2,10,0.00372293,0.47813239,0.85185185,0.81818182,0.93073009,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,2,12,0.01276155,0.49127964,0.85185185,0.78571429,0.89909723,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,GraphST,2,14,0.01231839,0.4152142,0.78571429,0.72413793,0.84793306,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
