section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
151507,151507,GraphST,High,37,0.56124862,0.8018018,0.85185185,0.92717213,151507
151507,151507,GraphST,Low,38,0.41337398,0.73913043,0.75438596,0.86678659,151507
151507,151507,GraphST,Middle,38,0.47861151,0.81818182,0.85185185,0.92593849,151507
151507,151507,STAGATE,High,26,0.84865632,0.88679245,0.88679245,0.96593097,151507
151507,151507,STAGATE,Low,27,0.56066357,0.7699115,0.78571429,0.91011548,151507
151507,151507,STAGATE,Middle,27,0.82703126,0.88679245,0.88679245,0.95971532,151507
151507,151507,SpaGCN,High,15,0.6992917,0.80194805,0.80194805,0.94328395,151507
151507,151507,SpaGCN,Low,15,0.53172298,0.58251232,0.51515152,0.76691353,151507
151507,151507,SpaGCN,Middle,15,0.63424171,0.75438596,0.75438596,0.91155181,151507
151507,151507,BANKSY,High,19,0.99847265,1,1,1,151507
151507,151507,BANKSY,Low,20,0.5749921,0.73913043,0.75438596,0.89586095,151507
151507,151507,BANKSY,Middle,19,0.99047884,0.98019802,1,0.99962462,151507
151507,151507,SEDR,High,24,0.75420442830000001,0.77781289509999996,0.72413793100000001,0.90243279030000001,151507
151507,151507,SEDR,Low,25,0.60120830049999996,0.63934426229999997,0.61290322580000001,0.83646982089999999,151507
151507,151507,SEDR,Middle,24,0.6786663289,0.70940170940000002,0.65300546449999997,0.85439644579999996,151507
151508,151508,GraphST,High,16,0.59739652,0.8265221,0.80194805,0.9137079,151508
151508,151508,GraphST,Low,17,0.43601521,0.75438596,0.72413793,0.82324213,151508
151508,151508,GraphST,Middle,17,0.52815099,0.8018018,0.81818182,0.90207905,151508
151508,151508,STAGATE,High,17,0.89505271,0.81818182,0.81818182,0.94727627,151508
151508,151508,STAGATE,Low,17,0.6952479,0.8018018,0.78571429,0.91214096,151508
151508,151508,STAGATE,Middle,17,0.82705966,0.86915888,0.81818182,0.94633433,151508
151508,151508,SpaGCN,High,18,0.59003975,0.70940171,0.69491525,0.84904859,151508
151508,151508,SpaGCN,Low,19,0.40868626,0.53846154,0.53846154,0.7480651,151508
151508,151508,SpaGCN,Middle,18,0.46500739,0.65300546,0.5625,0.76811899,151508
151508,151508,BANKSY,High,16,0.95379835,0.88679245,0.90493469,0.9781402,151508
151508,151508,BANKSY,Low,17,0.72213062,0.75438596,0.75438596,0.85180586,151508
151508,151508,BANKSY,Middle,17,0.80438581,0.75438596,0.78571429,0.85870626,151508
151508,151508,SEDR,High,30,0.80079025699999995,0.81818181820000002,0.83501683500000001,0.92506669990000001,151508
151508,151508,SEDR,Low,30,0.68750768620000002,0.70940170940000002,0.739261948,0.85618610250000005,151508
151508,151508,SEDR,Middle,30,0.73271354629999996,0.7699115044,0.78571428570000001,0.89252703249999998,151508
151509,151509,GraphST,High,18,0.59038892,0.8018018,0.81818182,0.90519708,151509
151509,151509,GraphST,Low,19,0.4004263,0.75438596,0.75438596,0.87947916,151509
151509,151509,GraphST,Middle,19,0.49944244,0.75438596,0.75438596,0.88983663,151509
151509,151509,STAGATE,High,29,0.91303935,0.86915888,0.92307692,0.97800393,151509
151509,151509,STAGATE,Low,30,0.8095973,0.86050537,0.90493469,0.97181593,151509
151509,151509,STAGATE,Middle,30,0.90027442,0.87797567,0.92307692,0.97509187,151509
151509,151509,SpaGCN,High,23,0.6456042,0.8018018,0.81818182,0.93696987,151509
151509,151509,SpaGCN,Low,23,0.47477405,0.72413793,0.72413793,0.87987349,151509
151509,151509,SpaGCN,Middle,23,0.54166722,0.75438596,0.75438596,0.90042001,151509
