section,dataset_display,method,n_iso_accuracy_pairs,spearman_partition_ari_vs_marker_jaccard,spearman_partition_ari_vs_top50_jaccard,spearman_partition_ari_vs_marker_rank_spearman,section_display,low_tertile_median_marker_jaccard,middle_tertile_median_marker_jaccard,high_tertile_median_marker_jaccard,high_minus_low_marker_jaccard
151507,151507,GraphST,113,0.55635186,0.65057851,0.66406614,151507,,,,
151507,151507,STAGATE,80,0.69614153,0.68397738,0.83675574,151507,,,,
151507,151507,SpaGCN,45,0.8567381,0.81433718,0.94716733,151507,,,,
151507,151507,BANKSY,58,0.97333864,0.92308933,0.97378972,151507,,,,
151507,151507,SEDR,73,0.75327726289999997,0.59779371079999999,0.61137850179999997,151507,0.63934426229999997,0.70940170940000002,0.77781289509999996,0.13846863279999999
151508,151508,GraphST,50,0.65746473,0.4417339,0.71812725,151508,,,,
151508,151508,STAGATE,51,0.10793911,0.32425968,0.59239819,151508,,,,
151508,151508,SpaGCN,55,0.69741047,0.6876139,0.63780664,151508,,,,
151508,151508,BANKSY,50,0.8294559,0.74084691,0.78107362,151508,,,,
151508,151508,SEDR,90,0.67374351290000001,0.60148978220000004,0.83425114209999995,151508,0.70940170940000002,0.7699115044,0.81818181820000002,0.1087801088
151509,151509,GraphST,56,0.43066681,0.48009646,0.47840055,151509,,,,
151509,151509,STAGATE,89,0.4171842,0.30558862,0.63455907,151509,,,,
151509,151509,SpaGCN,69,0.52204514,0.67697316,0.6935696,151509,,,,
151509,151509,BANKSY,43,0.94124026,0.88100177,0.96563849,151509,,,,
151509,151509,SEDR,30,0.53758087880000005,0.45316269739999998,0.64271412679999995,151509,0.64611841209999998,0.65977961429999998,0.71702284449999998,0.070904432399999995
151510,151510,GraphST,47,0.53646762,0.65867907,0.61875578,151510,,,,
151510,151510,STAGATE,48,0.86009218,0.88498383,0.7767043,151510,,,,
151510,151510,SpaGCN,57,0.82060503,0.76374746,0.80937257,151510,,,,
151510,151510,BANKSY,68,0.81927389,0.82338807,0.82946068,151510,,,,
151510,151510,SEDR,41,0.69301122920000002,0.71603037940000003,0.79181184670000004,151510,0.63945441110000001,0.70940170940000002,0.73913043479999996,0.099676023699999949
151669,151669,GraphST,43,0.4660534,0.53773959,0.42132286,151669,,,,
151669,151669,STAGATE,128,0.23902235,0.27634403,0.12990982,151669,,,,
151669,151669,SpaGCN,63,0.91234883,0.85163238,0.87231183,151669,,,,
151669,151669,BANKSY,171,0.96628976,0.95214793,0.86920626,151669,,,,
151669,151669,SEDR,43,0.67711646589999996,0.66033260419999995,0.41045001510000001,151669,0.62601626020000001,0.6949152542,0.73163418290000004,0.10561792270000003
151670,151670,GraphST,62,0.21719749,0.29248925,0.14290751,151670,,,,
151670,151670,STAGATE,29,0.56807602,0.7150967,0.62512315,151670,,,,
151670,151670,SpaGCN,73,0.70969798,0.73252256,0.66222387,151670,,,,
151670,151670,BANKSY,19,0.94051348,0.93548497,0.92982456,151670,,,,
