dataset,family,species,tissue,technology,n_spots,n_genes,k,methods,valid_runs,dataset_display,context
151507,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,4226,18430,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151507,DLPFC
151508,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,4384,18067,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151508,DLPFC
151509,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,4789,18688,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151509,DLPFC
151510,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,4634,18466,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151510,DLPFC
151669,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,3661,18583,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151669,DLPFC
151670,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,3498,18332,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151670,DLPFC
151671,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,4110,19041,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151671,DLPFC
151672,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,4015,18730,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151672,DLPFC
151673,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,3639,19151,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151673,DLPFC
151674,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,3673,19878,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151674,DLPFC
151675,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,3592,18658,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151675,DLPFC
151676,DLPFC,human,dorsolateral prefrontal cortex,10x Visium,3460,18674,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,151676,DLPFC
STARmap,STARmap,mouse,visual cortex,STARmap in situ sequencing,1207,1020,7,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,STARmap,STARmap visual cortex
HBCA1,HBCA1,human,breast cancer,10x Visium human breast cancer,3798,22240,20,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,HBCA1,human breast cancer
Bregma −0.04,MERFISH Animal1,mouse,hypothalamus / preoptic region,MERFISH,5488,155,8,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,Bregma −0.04,one MERFISH hypothalamus/preoptic context; five consecutive sections
Bregma −0.09,MERFISH Animal1,mouse,hypothalamus / preoptic region,MERFISH,5557,155,8,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,Bregma −0.09,one MERFISH hypothalamus/preoptic context; five consecutive sections
Bregma −0.14,MERFISH Animal1,mouse,hypothalamus / preoptic region,MERFISH,5926,155,8,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,Bregma −0.14,one MERFISH hypothalamus/preoptic context; five consecutive sections
Bregma −0.19,MERFISH Animal1,mouse,hypothalamus / preoptic region,MERFISH,5803,155,8,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,Bregma −0.19,one MERFISH hypothalamus/preoptic context; five consecutive sections
Bregma −0.24,MERFISH Animal1,mouse,hypothalamus / preoptic region,MERFISH,5543,155,8,GraphST;STAGATE;SpaGCN;BANKSY;SEDR,100,Bregma −0.24,one MERFISH hypothalamus/preoptic context; five consecutive sections
