section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,section_display,n_cells,n_genes
151507,GraphST,1,0.2616425405,0.4382333494,4226.0,7,151507,,
151507,GraphST,2,0.2486786151,0.4486992595,4226.0,7,151507,,
151507,GraphST,3,0.258770213,0.4377382118,4226.0,7,151507,,
151507,GraphST,4,0.2820304604,0.4561624345,4226.0,7,151507,,
151507,GraphST,5,0.3042338951,0.4852676553,4226.0,7,151507,,
151507,GraphST,6,0.2588153126,0.4434742497,4226.0,7,151507,,
151507,GraphST,7,0.273256454,0.4540639817,4226.0,7,151507,,
151507,GraphST,8,0.2715787728,0.4589298187,4226.0,7,151507,,
151507,GraphST,9,0.2585390237,0.4444104297,4226.0,7,151507,,
151507,GraphST,10,0.2449556832,0.4166877799,4226.0,7,151507,,
151507,GraphST,11,0.2744082524,0.424368574,4226.0,7,151507,,
151507,GraphST,12,0.2359170649,0.5040466471,4226.0,7,151507,,
151507,GraphST,13,0.2262248319,0.4093643292,4226.0,7,151507,,
151507,GraphST,14,0.2609970017,0.472811623,4226.0,7,151507,,
151507,GraphST,15,0.2589666695,0.4451577248,4226.0,7,151507,,
151507,GraphST,16,0.2641300999,0.4282778931,4226.0,7,151507,,
151507,GraphST,17,0.2524234943,0.4341524042,4226.0,7,151507,,
151507,GraphST,18,0.2505084057,0.448303781,4226.0,7,151507,,
151507,GraphST,19,0.2388843565,0.4398020299,4226.0,7,151507,,
151507,GraphST,20,0.2619226734,0.4279021011,4226.0,7,151507,,
151507,STAGATE,1,0.2512988965,0.4693484669,4226.0,7,151507,,
151507,STAGATE,2,0.2383313522,0.5325344689,4226.0,7,151507,,
151507,STAGATE,3,0.2480230559,0.475267275,4226.0,7,151507,,
151507,STAGATE,4,0.2250664111,0.4041000164,4226.0,7,151507,,
151507,STAGATE,5,0.2414256277,0.4741051746,4226.0,7,151507,,
151507,STAGATE,6,0.252721638,0.478950121,4226.0,7,151507,,
151507,STAGATE,7,0.4048739996,0.5660143312,4226.0,7,151507,,
151507,STAGATE,8,0.3926048364,0.5886165151,4226.0,7,151507,,
151507,STAGATE,9,0.242950889,0.4683854744,4226.0,7,151507,,
151507,STAGATE,10,0.3765858316,0.5855701355,4226.0,7,151507,,
151507,STAGATE,11,0.4170051092,0.580406915,4226.0,7,151507,,
151507,STAGATE,12,0.2524899087,0.4710797986,4226.0,7,151507,,
151507,STAGATE,13,0.2681429087,0.4871207689,4226.0,7,151507,,
151507,STAGATE,14,0.2448406731,0.5409396708,4226.0,7,151507,,
151507,STAGATE,15,0.2375497612,0.4597551331,4226.0,7,151507,,
151507,STAGATE,16,0.244493334,0.4692313003,4226.0,7,151507,,
151507,STAGATE,17,0.242500329,0.4680422088,4226.0,7,151507,,
151507,STAGATE,18,0.3163330896,0.4911590369,4226.0,7,151507,,
151507,STAGATE,19,0.250086085,0.4700646522,4226.0,7,151507,,
151507,STAGATE,20,0.3415403768,0.5713240879,4226.0,7,151507,,
151507,SpaGCN,1,0.3632867545,0.4781931646,4226.0,6,151507,,
151507,SpaGCN,2,0.3685778293,0.4932969004,4226.0,7,151507,,
151507,SpaGCN,3,0.4189789695,0.520489648,4226.0,7,151507,,
151507,SpaGCN,4,0.3233227839,0.4688545662,4226.0,7,151507,,
151507,SpaGCN,5,0.3921468974,0.5169903719,4226.0,7,151507,,
151507,SpaGCN,6,0.3054046577,0.4574155325,4226.0,7,151507,,
151507,SpaGCN,7,0.2703780632,0.4529707549,4226.0,7,151507,,
151507,SpaGCN,8,0.2909195392,0.4485216351,4226.0,7,151507,,
151507,SpaGCN,9,0.2985877537,0.4552673027,4226.0,7,151507,,
151507,SpaGCN,10,0.3617221527,0.4928169987,4226.0,7,151507,,
151507,SpaGCN,11,0.3786058484,0.5238155401,4226.0,7,151507,,
151507,SpaGCN,12,0.3869610927,0.5015164593,4226.0,6,151507,,
151507,SpaGCN,13,0.3105328954,0.4725572867,4226.0,7,151507,,
151507,SpaGCN,14,0.4044803982,0.5137931739,4226.0,7,151507,,
151507,SpaGCN,15,0.3535688977,0.4671300903,4226.0,7,151507,,
151507,SpaGCN,16,0.4619630376,0.567712577,4226.0,7,151507,,
