section,method,top100_marker_jaccard__iso_accuracy_unstable,top100_marker_jaccard__stable_control,top50_marker_jaccard__iso_accuracy_unstable,top50_marker_jaccard__stable_control,marker_rank_spearman__iso_accuracy_unstable,marker_rank_spearman__stable_control,context
Bregma −0.04,BANKSY,0.97049116680000003,1,0.94339622639999998,1,0.99841771130000001,1,MERFISH
Bregma −0.04,GraphST,0.86915887849999995,0.90545322569999998,0.739261948,0.85185185190000001,0.91314169700000003,0.97648319419999996,MERFISH
Bregma −0.04,STAGATE,0.91391941389999998,0.94174757279999999,0.75492610839999996,0.90493468799999999,0.96296445490000004,0.99055299539999997,MERFISH
Bregma −0.04,SpaGCN,0.79404666130000001,0.93277310920000001,0.5877016129,0.86932215229999998,0.86704424609999997,0.99121523639999998,MERFISH
Bregma −0.09,BANKSY,0.97049116680000003,1,0.94193061840000003,1,0.99718990689999998,1,MERFISH
Bregma −0.09,GraphST,0.91427001279999998,0.91391941389999998,0.86932215229999998,0.86932215229999998,0.97476716829999999,0.98039863360000001,MERFISH
Bregma −0.09,STAGATE,0.75237220689999995,0.90476190479999996,0.66666666669999997,0.88746438750000001,0.76155779700000004,0.98767039410000002,MERFISH
Bregma −0.09,SpaGCN,0.86981214500000004,0.91427001279999998,0.75925925930000004,0.81818181820000002,0.93936063940000003,0.98788791850000002,MERFISH
Bregma −0.14,BANKSY,0.99009900989999999,1,0.96078431369999995,1,0.99943927040000002,0.99958912060000005,MERFISH
Bregma −0.14,GraphST,0.89577717879999996,0.91391941389999998,0.81878306879999996,0.87062937060000001,0.98277528920000001,0.9866778383,MERFISH
Bregma −0.14,STAGATE,0.87797566569999996,0.96097279629999999,0.78571428570000001,0.9230769231,0.94225774230000003,0.9940543328,MERFISH
Bregma −0.14,SpaGCN,0.88746438750000001,0.96078431369999995,0.75654853619999995,0.9230769231,0.95945022719999995,0.99566401339999999,MERFISH
Bregma −0.19,BANKSY,1,1,1,1,1,1,MERFISH
Bregma −0.19,GraphST,0.95126594330000003,0.93241224789999999,0.88679245279999996,0.88746438750000001,0.98973123649999994,0.98943798140000006,MERFISH
Bregma −0.19,STAGATE,0.80238694489999995,0.95163747139999999,0.68079096049999999,0.9230769231,0.87982823629999996,0.99149560120000002,MERFISH
Bregma −0.19,SpaGCN,0.8799646955,0.97049116680000003,0.74031477000000001,0.90493468799999999,0.95112145920000002,0.99358222419999997,MERFISH
Bregma −0.24,BANKSY,0.99009900989999999,0.99009900989999999,0.96078431369999995,1,0.99967129639999996,0.99995005000000003,MERFISH
Bregma −0.24,GraphST,0.92325473879999997,0.94174757279999999,0.85248713549999999,0.86932215229999998,0.98498759309999995,0.99238020039999997,MERFISH
Bregma −0.24,STAGATE,0.7704661183,0.94193061840000003,0.68174109670000005,0.9230769231,0.84936192840000002,0.99129096709999998,MERFISH
Bregma −0.24,SpaGCN,0.8967997123,0.96078431369999995,0.83501683500000001,0.88679245279999996,0.97237762240000003,0.99381263900000005,MERFISH
