section,section_display,method,seed,reference_ari
151670,151670,GraphST,1,0.2029149576
151670,151670,GraphST,2,0.1904695354
151670,151670,GraphST,3,0.25401490539999999
151670,151670,GraphST,4,0.25634614649999998
151670,151670,GraphST,5,0.21843851010000001
151670,151670,GraphST,6,0.26407836829999998
151670,151670,GraphST,7,0.24771955919999999
151670,151670,GraphST,8,0.21265632779999999
151670,151670,GraphST,9,0.20593476050000001
151670,151670,GraphST,10,0.16580647709999999
151670,151670,GraphST,11,0.2706940766
151670,151670,GraphST,12,0.21841205999999999
151670,151670,GraphST,13,0.21946992430000001
151670,151670,GraphST,14,0.2219840096
151670,151670,GraphST,15,0.2379221239
151670,151670,GraphST,16,0.28144428939999999
151670,151670,GraphST,17,0.37456055840000002
151670,151670,GraphST,18,0.20928716850000001
151670,151670,GraphST,19,0.26947185810000002
151670,151670,GraphST,20,0.20120194990000001
151670,151670,STAGATE,1,0.2296994443
151670,151670,STAGATE,2,0.115353701
151670,151670,STAGATE,3,0.35235939799999999
151670,151670,STAGATE,4,0.21002259400000001
151670,151670,STAGATE,5,0.26541010180000002
151670,151670,STAGATE,6,0.2068387864
151670,151670,STAGATE,7,0.19825524759999999
151670,151670,STAGATE,8,0.32883697239999998
151670,151670,STAGATE,9,0.14120535170000001
151670,151670,STAGATE,10,0.20719203820000001
151670,151670,STAGATE,11,0.16822229720000001
151670,151670,STAGATE,12,0.31811915530000001
151670,151670,STAGATE,13,0.26503222399999998
151670,151670,STAGATE,14,0.15678823710000001
151670,151670,STAGATE,15,0.2454660025
151670,151670,STAGATE,16,0.19407273450000001
151670,151670,STAGATE,17,0.19209581270000001
151670,151670,STAGATE,18,0.13473491309999999
151670,151670,STAGATE,19,0.24015050939999999
151670,151670,STAGATE,20,0.16543811459999999
151670,151670,SpaGCN,1,0.13519960140000001
151670,151670,SpaGCN,2,0.23652627579999999
151670,151670,SpaGCN,3,0.1903246572
151670,151670,SpaGCN,4,0.12726095279999999
151670,151670,SpaGCN,5,0.20858413349999999
151670,151670,SpaGCN,6,0.1682911118
151670,151670,SpaGCN,7,0.1456609556
151670,151670,SpaGCN,8,0.13996926630000001
151670,151670,SpaGCN,9,0.12955605049999999
151670,151670,SpaGCN,10,0.15811070059999999
151670,151670,SpaGCN,11,0.2058100158
151670,151670,SpaGCN,12,0.1691705208
151670,151670,SpaGCN,13,0.15348828370000001
151670,151670,SpaGCN,14,0.18273169419999999
151670,151670,SpaGCN,15,0.1525075903
151670,151670,SpaGCN,16,0.1660828781
151670,151670,SpaGCN,17,0.1581381835
151670,151670,SpaGCN,18,0.13836548670000001
151670,151670,SpaGCN,19,0.1752689493
151670,151670,SpaGCN,20,0.16178617889999999
151670,151670,BANKSY,1,0.20939767619999999
151670,151670,BANKSY,2,0.67455972210000004
151670,151670,BANKSY,3,0.65271998730000003
151670,151670,BANKSY,4,0.25334419670000002
151670,151670,BANKSY,5,0.41548070819999999
151670,151670,BANKSY,6,0.43502625249999999
151670,151670,BANKSY,7,0.42061509549999998
151670,151670,BANKSY,8,0.30850435869999998
151670,151670,BANKSY,9,0.48813987759999999
151670,151670,BANKSY,10,0.24847491769999999
151670,151670,BANKSY,11,0.38238829229999999
151670,151670,BANKSY,12,0.43423029829999998
151670,151670,BANKSY,13,0.28035352629999999
151670,151670,BANKSY,14,0.2489353725
151670,151670,BANKSY,15,0.2226896022
151670,151670,BANKSY,16,0.24870598869999999
151670,151670,BANKSY,17,0.43782393359999999
151670,151670,BANKSY,18,0.38238829229999999
151670,151670,BANKSY,19,0.28226588720000001
151670,151670,BANKSY,20,0.31503373540000001
