Dataset,Platform,Species,Tissue / condition,Sample / section ID,Original publication,Data source / accession,Reference annotation source,"Reference domains, K","Spots / cells, n","Genes, n",Preprocessing / reference-label note
151507,10x Visium,Human,Human dorsolateral prefrontal cortex,151507,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,4226,18430,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151508,10x Visium,Human,Human dorsolateral prefrontal cortex,151508,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,4384,18067,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151509,10x Visium,Human,Human dorsolateral prefrontal cortex,151509,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,4789,18688,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151510,10x Visium,Human,Human dorsolateral prefrontal cortex,151510,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,4634,18466,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151669,10x Visium,Human,Human dorsolateral prefrontal cortex,151669,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,3661,18583,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151670,10x Visium,Human,Human dorsolateral prefrontal cortex,151670,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,3498,18332,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151671,10x Visium,Human,Human dorsolateral prefrontal cortex,151671,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,4110,19041,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151672,10x Visium,Human,Human dorsolateral prefrontal cortex,151672,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,4015,18730,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151673,10x Visium,Human,Human dorsolateral prefrontal cortex,151673,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,3639,19151,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151674,10x Visium,Human,Human dorsolateral prefrontal cortex,151674,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,3673,19878,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151675,10x Visium,Human,Human dorsolateral prefrontal cortex,151675,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,3592,18658,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
151676,10x Visium,Human,Human dorsolateral prefrontal cortex,151676,"Maynard et al., Nature Neuroscience (2021), doi:10.1038/s41593-020-00787-0",spatialLIBD / HumanPilot; https://spatial.libd.org/spatialLIBD/,Manual cortical-layer and white-matter labels distributed through spatialLIBD / HumanPilot,7,3460,18674,Genes detected in fewer than three spots were removed; reference labels comprise L1-L6 and white matter.
STARmap,STARmap in situ sequencing,Mouse,Visual cortex,STARmap_20180505_BY3_1k,"Wang et al., Science (2018), doi:10.1126/science.aat5691",BenchmarkST curated STARmap_20180505_BY3_1k; https://github.com/maiziezhoulab/BenchmarkST,BenchmarkST curated STARmap anatomical annotation,7,1207,1020,"Full 1,020-gene panel retained; seven domains include CC, HPC and cortical layers L1-L6 with L2/3 combined."
HBCA1,10x Visium,Human,Human breast cancer,HBCA1,"10x Genomics public Human Breast Cancer dataset; BenchmarkST: Hu et al., Genome Biology (2024), doi:10.1186/s13059-024-03361-0",10x Genomics Human Breast Cancer Block A Section 1; BenchmarkST/SEDR annotation; https://benchmarkst-reproducibility.readthedocs.io/en/latest/Data%20availability.html,Manual 20-region pathology reference defined from H&E and pathological features in the original SEDR study,20,3798,22240,"The reference is a manual pathology annotation, not a SEDR clustering output. The original SEDR study used this dataset; cross-method reference-accuracy comparisons involving SEDR should be interpreted with awareness of prior developer-dataset exposure."
Bregma −0.04,MERFISH,Mouse,Hypothalamus / preoptic region,Bregma −0.04,"Moffitt et al., Science (2018), doi:10.1126/science.aau5324",Dryad doi:10.5061/dryad.8t8s248; BASS official analysis repository https://github.com/zhengli09/BASS-Analysis,BASS/manual atlas-informed cell-level spatial-domain annotation from Animal1,8,5488,155,One of five consecutive sections from one MERFISH biological/technology context; full targeted 155-gene panel; processed expression layer rather than a uniform raw integer-count matrix; all retained cells have valid labels.
Bregma −0.09,MERFISH,Mouse,Hypothalamus / preoptic region,Bregma −0.09,"Moffitt et al., Science (2018), doi:10.1126/science.aau5324",Dryad doi:10.5061/dryad.8t8s248; BASS official analysis repository https://github.com/zhengli09/BASS-Analysis,BASS/manual atlas-informed cell-level spatial-domain annotation from Animal1,8,5557,155,One of five consecutive sections from one MERFISH biological/technology context; full targeted 155-gene panel; processed expression layer rather than a uniform raw integer-count matrix; all retained cells have valid labels.
